experiment_id,case_type,description,value,expected,actual,match
E02_IDENTIFICATION,randomized,rand_47,-1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_48,1.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_49,1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_50,-2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_51,1.7395088674523373,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_52,-1.6429889963195947,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_53,-1.0,,BORDERLINE,VIOLATED
E02_IDENTIFICATION,randomized,rand_54,-1.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_55,-2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_56,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_57,-2.0,,BORDERLINE,VIOLATED
E02_IDENTIFICATION,randomized,rand_58,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_59,2.2898390305997207,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_60,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_61,1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_62,-1.9209065104103296,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_63,1.0,,VALID,VIOLATED
E02_IDENTIFICATION,randomized,rand_64,-2.0,,BORDERLINE,VIOLATED
E02_IDENTIFICATION,randomized,rand_65,1.3726251806244463,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_66,-2.881148227639356,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_67,2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_68,2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_69,2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_70,-1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_71,5.806606744550452,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_72,0.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_73,-5.251150953846496,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_74,-1.6011239970066873,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_75,-1.0,,VALID,VIOLATED
E02_IDENTIFICATION,randomized,rand_76,-1.0,,BORDERLINE,VIOLATED
E02_IDENTIFICATION,randomized,rand_77,-1.9977452968775067,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_78,2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_79,2.0485968944746418,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_80,-2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_81,1.788674741879082,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_82,1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_83,0.4022270756875308,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_84,2.185773797383174,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_85,-1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_86,-3.115291087528843,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_87,0.6302289927776936,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_88,0.822727210975545,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_89,0.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_90,1.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_91,-3.367912719232117,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_92,1.482897537015532,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_93,-4.759394096224496,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_94,-1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_95,-1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_96,2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_97,-2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_98,1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_99,2.7681799008831476,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_100,1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_101,2.802379999512283,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_102,0.0,,VALID,VIOLATED
E02_IDENTIFICATION,randomized,rand_103,-1.0,,BORDERLINE,VIOLATED
E02_IDENTIFICATION,randomized,rand_104,1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_105,0.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_106,0.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_107,1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_108,2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_109,0.762344968946687,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_110,-1.0345926339935811,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_111,-2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_112,1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_113,5.598229232810763,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_114,0.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_115,1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_116,3.560121668722477,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_117,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_118,-1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_119,0.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_120,-2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_121,-2.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_122,1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_123,1.0,,VALID,VIOLATED
E02_IDENTIFICATION,randomized,rand_124,1.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_125,2.1264689904575533,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_126,-4.226690770045932,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_127,1.127921311309323,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_128,1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_129,3.0119585668933233,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_130,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_131,0.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_132,1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_133,-1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_134,0.5279475667087183,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_135,-3.9925644693459903,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_136,1.1013453323802915,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_137,2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_138,2.2724360286219216,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_139,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_140,-2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_141,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_142,-1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_143,-2.3132923333280004,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_144,0.19237227562812365,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_145,2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_146,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_147,-0.7684848475611137,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_148,0.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_149,-2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_150,-1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_151,-1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_152,-1.9476409098680625,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_153,-3.3955044086153285,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_154,-1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_155,2.0,,BORDERLINE,VIOLATED
E02_IDENTIFICATION,randomized,rand_156,1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_157,-1.2495871642527074,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_158,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_159,0.04661476379052054,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_160,-2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_161,1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_162,1.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_163,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_164,-1.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_165,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_166,-1.0,,VALID,VIOLATED
E02_IDENTIFICATION,randomized,rand_167,0.2509999824697058,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_168,-2.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_169,4.035461617579225,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_170,1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_171,5.952970595309861,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_172,1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_173,5.362859688363102,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_174,-2.871933729572118,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_175,1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_176,1.3223683443974403,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_177,2.0,,BORDERLINE,VIOLATED
E02_IDENTIFICATION,randomized,rand_178,-2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_179,3.393519372973268,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_180,1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_181,-1.2901700251708235,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_182,2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_183,0.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_184,1.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_185,0.0,,VALID,CERTIFIED
E02_IDENTIFICATION,randomized,rand_186,1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_187,-3.7961991184759265,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_188,-0.6352008623957195,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_189,2.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_190,0.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_191,-2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_192,-4.591312558882815,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_193,-2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_194,0.0,,BORDERLINE,CERTIFIED
E02_IDENTIFICATION,randomized,rand_195,-1.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_196,4.708930532694913,,UNIDENTIFIABLE,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_197,1.0,,TASK_ALTERING,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_198,-2.0,,INVALID,UNIDENTIFIABLE
E02_IDENTIFICATION,randomized,rand_199,1.0,,BORDERLINE,VIOLATED
